Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,follow up
Malaria,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
Allergy,apply calamine,cover area with bandage,,use ice to compress itching
Acne,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
Dimorphic hemmorhoids(piles),avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
Common Cold,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Chicken pox,use neem in bathing ,consume neem leaves,take vaccine,avoid public places
Typhoid,eat high calorie vegitables,antiboitic therapy,consult doctor,medication
Fungal infection,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Migraine,meditation,reduce stress,use poloroid glasses in sun,consult doctor
Jaundice,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
Dengue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated
